시군구명,법정동코드,동리명,시간대구분,기준일ID,행정동코드,총생활인구수,10대 미만,10대,20대,30대,40대,50대,60대,70대 이상
성북구,11290113,삼선동3가,15,20220615.5,11290555.0,3022.936645185185,164.30341074074073,368.2241777777778,368.2241777777778,368.2241777777778,368.2241777777778,368.2241777777778,368.2241777777778,368.2241777777778
성북구,11290113,삼선동3가,16,20220615.5,11290555.0,3089.887494814815,187.54342925925928,373.5647851851852,373.5647851851852,373.5647851851852,373.5647851851852,373.5647851851852,373.5647851851852,373.5647851851852
성북구,11290113,삼선동3가,17,20220615.5,11290555.0,3164.0062025925927,187.09915703703703,373.75515925925924,373.75515925925924,373.75515925925924,373.75515925925924,373.75515925925924,373.75515925925924,373.75515925925924
성북구,11290113,삼선동3가,18,20220615.5,11290555.0,3255.675104814815,187.40924148148147,375.49758740740737,375.49758740740737,375.49758740740737,375.49758740740737,375.49758740740737,375.49758740740737,375.49758740740737
성북구,11290113,삼선동3가,19,20220615.5,11290555.0,3236.105515185185,180.2748825925926,362.6384996296296,362.6384996296296,362.6384996296296,362.6384996296296,362.6384996296296,362.6384996296296,362.6384996296296
성북구,11290113,삼선동3가,20,20220615.5,11290555.0,3200.833774074074,174.77091444444443,350.34516777777776,350.34516777777776,350.34516777777776,350.34516777777776,350.34516777777776,350.34516777777776,350.34516777777776
성북구,11290113,삼선동3가,21,20220615.5,11290555.0,3173.933427407407,167.06533740740738,340.32054185185183,340.32054185185183,340.32054185185183,340.32054185185183,340.32054185185183,340.32054185185183,340.32054185185183
성북구,11290113,삼선동3가,22,20220615.5,11290555.0,3110.9052025925926,162.36161074074073,314.77241444444445,314.77241444444445,314.77241444444445,314.77241444444445,314.77241444444445,314.77241444444445,314.77241444444445
성북구,11290113,삼선동3가,23,20220615.5,11290555.0,2864.150068888889,161.41391296296297,298.35454,298.35454,298.35454,298.35454,298.35454,298.35454,298.35454
성북구,11290114,삼선동4가,0,20220615.5,11290555.0,2848.2346092592593,161.86539037037036,294.6386248148148,294.6386248148148,294.6386248148148,294.6386248148148,294.6386248148148,294.6386248148148,294.6386248148148
성북구,11290114,삼선동4가,1,20220615.5,11290555.0,2834.901047777778,162.41598407407406,294.21969,294.21969,294.21969,294.21969,294.21969,294.21969,294.21969
성북구,11290114,삼선동4가,2,20220615.5,11290555.0,2828.9304155555556,162.3292559259259,293.6523155555555,293.6523155555555,293.6523155555555,293.6523155555555,293.6523155555555,293.6523155555555,293.6523155555555
성북구,11290114,삼선동4가,3,20220615.5,11290555.0,2827.0016359259257,161.95515444444445,292.8623181481481,292.8623181481481,292.8623181481481,292.8623181481481,292.8623181481481,292.8623181481481,292.8623181481481
성북구,11290114,삼선동4가,4,20220615.5,11290555.0,2838.350975185185,161.87773074074076,293.03009333333335,293.03009333333335,293.03009333333335,293.03009333333335,293.03009333333335,293.03009333333335,293.03009333333335
성북구,11290114,삼선동4가,5,20220615.5,11290555.0,2854.743834074074,161.51588296296296,293.1853040740741,293.1853040740741,293.1853040740741,293.1853040740741,293.1853040740741,293.1853040740741,293.1853040740741
성북구,11290114,삼선동4가,6,20220615.5,11290555.0,2879.5574570370372,161.01924814814814,294.29943925925926,294.29943925925926,294.29943925925926,294.29943925925926,294.29943925925926,294.29943925925926,294.29943925925926
성북구,11290114,삼선동4가,7,20220615.5,11290555.0,3002.7115744444445,160.09850814814814,353.78621481481485,353.78621481481485,353.78621481481485,353.78621481481485,353.78621481481485,353.78621481481485,353.78621481481485
성북구,11290114,삼선동4가,8,20220615.5,11290555.0,2931.7175333333334,150.59255370370371,335.89777259259256,335.89777259259256,335.89777259259256,335.89777259259256,335.89777259259256,335.89777259259256,335.89777259259256
성북구,11290114,삼선동4가,9,20220615.5,11290555.0,2915.600977037037,153.33104148148146,339.52795925925926,339.52795925925926,339.52795925925926,339.52795925925926,339.52795925925926,339.52795925925926,339.52795925925926
성북구,11290114,삼선동4가,10,20220615.5,11290555.0,2932.580476666667,156.2301496296296,350.88340407407406,350.88340407407406,350.88340407407406,350.88340407407406,350.88340407407406,350.88340407407406,350.88340407407406
성북구,11290114,삼선동4가,11,20220615.5,11290555.0,2951.384174074074,160.11418703703703,359.8949333333333,359.8949333333333,359.8949333333333,359.8949333333333,359.8949333333333,359.8949333333333,359.8949333333333
성북구,11290114,삼선동4가,12,20220615.5,11290555.0,2957.7104218518516,149.40333777777778,354.3682781481482,354.3682781481482,354.3682781481482,354.3682781481482,354.3682781481482,354.3682781481482,354.3682781481482
성북구,11290114,삼선동4가,13,20220615.5,11290555.0,2956.1140244444446,149.24518666666665,355.6441907407407,355.6441907407407,355.6441907407407,355.6441907407407,355.6441907407407,355.6441907407407,355.6441907407407
성북구,11290114,삼선동4가,14,20220615.5,11290555.0,2955.4613222222224,145.1362474074074,353.3272222222222,353.3272222222222,353.3272222222222,353.3272222222222,353.3272222222222,353.3272222222222,353.3272222222222
성북구,11290114,삼선동4가,15,20220615.5,11290555.0,3022.936645185185,164.30341074074073,368.2241777777778,368.2241777777778,368.2241777777778,368.2241777777778,368.2241777777778,368.2241777777778,368.2241777777778
성북구,11290114,삼선동4가,16,20220615.5,11290555.0,3089.887494814815,187.54342925925928,373.5647851851852,373.5647851851852,373.5647851851852,373.5647851851852,373.5647851851852,373.5647851851852,373.5647851851852
성북구,11290114,삼선동4가,17,20220615.5,11290555.0,3164.0062025925927,187.09915703703703,373.75515925925924,373.75515925925924,373.75515925925924,373.75515925925924,373.75515925925924,373.75515925925924,373.75515925925924
성북구,11290114,삼선동4가,18,20220615.5,11290555.0,3255.675104814815,187.40924148148147,375.49758740740737,375.49758740740737,375.49758740740737,375.49758740740737,375.49758740740737,375.49758740740737,375.49758740740737
성북구,11290114,삼선동4가,19,20220615.5,11290555.0,3236.105515185185,180.2748825925926,362.6384996296296,362.6384996296296,362.6384996296296,362.6384996296296,362.6384996296296,362.6384996296296,362.6384996296296
성북구,11290114,삼선동4가,20,20220615.5,11290555.0,3200.833774074074,174.77091444444443,350.34516777777776,350.34516777777776,350.34516777777776,350.34516777777776,350.34516777777776,350.34516777777776,350.34516777777776
성북구,11290114,삼선동4가,21,20220615.5,11290555.0,3173.933427407407,167.06533740740738,340.32054185185183,340.32054185185183,340.32054185185183,340.32054185185183,340.32054185185183,340.32054185185183,340.32054185185183
성북구,11290114,삼선동4가,22,20220615.5,11290555.0,3110.9052025925926,162.36161074074073,314.77241444444445,314.77241444444445,314.77241444444445,314.77241444444445,314.77241444444445,314.77241444444445,314.77241444444445
성북구,11290114,삼선동4가,23,20220615.5,11290555.0,2864.150068888889,161.41391296296297,298.35454,298.35454,298.35454,298.35454,298.35454,298.35454,298.35454
성북구,11290115,삼선동5가,0,20220615.5,11290555.0,2848.2346092592593,161.86539037037036,294.6386248148148,294.6386248148148,294.6386248148148,294.6386248148148,294.6386248148148,294.6386248148148,294.6386248148148
성북구,11290115,삼선동5가,1,20220615.5,11290555.0,2834.901047777778,162.41598407407406,294.21969,294.21969,294.21969,294.21969,294.21969,294.21969,294.21969
