법정동명,법정동단위 거주인구,법정동 단위 생활인구수
충무로1가,704.7304347826087,129311.8075230616
충무로2가,165.1304347826087,49078.50691847826
명동1가,165.1304347826087,49078.50691847826
명동2가,165.1304347826087,49078.50691847826
남산동1가,165.1304347826087,49078.50691847826
남산동2가,165.1304347826087,49078.50691847826
남산동3가,165.1304347826087,49078.50691847826
저동1가,165.1304347826087,49078.50691847826
충무로4가,1073.190909090909,104950.53841636363
충무로5가,1073.190909090909,104950.53841636363
인현동2가,645.1,70404.54201333334
예관동,645.1,70404.54201333334
묵정동,2208.090909090909,158627.85937664143
필동1가,428.09090909090907,34545.9964030303
필동2가,428.09090909090907,34545.9964030303
필동3가,428.09090909090907,34545.9964030303
남학동,428.09090909090907,34545.9964030303
주자동,428.09090909090907,34545.9964030303
예장동,593.2213438735178,83624.50332150856
장충동1가,1779.9999999999998,124081.8629736111
장충동2가,2208.090909090909,158627.85937664143
광희동1가,645.1,70404.54201333334
광희동2가,645.1,70404.54201333334
쌍림동,645.1,70404.54201333334
을지로6가,645.1,70404.54201333334
을지로7가,645.1,70404.54201333334
을지로4가,194.9,55985.040997083335
을지로5가,194.9,55985.040997083335
주교동,194.9,55985.040997083335
방산동,194.9,55985.040997083335
오장동,645.1,70404.54201333334
을지로3가,194.9,55985.040997083335
입정동,194.9,55985.040997083335
산림동,194.9,55985.040997083335
충무로3가,428.09090909090907,34545.9964030303
초동,194.9,55985.040997083335
인현동1가,194.9,55985.040997083335
저동2가,194.9,55985.040997083335
신당동,68663.66666666667,2090784.6190083334
흥인동,3064.666666666667,235684.23594166667
무학동,3064.666666666667,235684.23594166667
황학동,13483.0,411527.4735375
서소문동,286.0833333333333,75469.42698194445
정동,286.0833333333333,75469.42698194445
순화동,825.6833333333333,155702.7275865278
의주로1가,286.0833333333333,75469.42698194445
충정로1가,286.0833333333333,75469.42698194445
중림동,3080.25,72613.490478125
의주로2가,3080.25,72613.490478125
만리동1가,3080.25,72613.490478125
만리동2가,3080.25,72613.490478125
면목동,139343.0,3494037.5334458333
상봉동,44499.0,1345801.84655
중화동,44784.0,1261810.8799
묵동,53403.0,1355149.3497166666
망우동,52424.0,1575383.2382916666
신내동,58694.0,1589312.6402416667
