시군구명,법정동코드,동리명,시간대구분,기준일ID,행정동코드,총생활인구수,남성 10대 미만,남성 10대 ,남성 20대 ,남성 30대 ,남성 40대 ,남성 50대 ,남성 60대 ,남성 70대 이상,여성 10대 미만,여성 10대 ,여성 20대 ,여성 30대 ,여성 40대 ,여성 50대 ,여성 60대 ,여성 70대 이상
강남구,11680101,역삼동,0,20220614.5,11680645.0,59417.258120833336,1600.4306166666668,2635.584566666667,5145.322783333333,7192.368916666666,6745.0130125,4001.5440416666665,1605.8788000000002,1290.2992,1520.205675,2720.8031375,6285.116895833333,6397.5306083333335,5570.289870833333,2906.4948249999998,1862.4979708333333,1937.8769708333332
강남구,11680101,역삼동,1,20220614.5,11680645.0,57998.79262083333,1580.6682916666666,2565.8051833333334,5013.563962499999,6959.8133708333335,6519.985704166666,3884.9421333333335,1572.9555541666666,1280.4162333333334,1519.9749416666666,2677.3727458333333,6086.7205625,6247.7368,5476.752045833334,2859.989066666667,1838.3655541666667,1913.7304458333335
강남구,11680101,역삼동,2,20220614.5,11680645.0,57396.33662083334,1572.5352333333333,2551.7385875,4909.611254166667,6834.095816666667,6392.9364749999995,3862.7047666666663,1572.4475916666668,1279.1991166666667,1521.2945083333334,2664.773941666667,5983.6586125,6195.619299999999,5456.730108333333,2859.032391666667,1831.0416625,1908.9175708333332
강남구,11680101,역삼동,3,20220614.5,11680645.0,56975.61816666666,1559.0911958333334,2535.943904166667,4861.796441666666,6749.428979166667,6315.089858333333,3821.2381041666667,1562.8844833333333,1282.8228541666667,1515.7463041666667,2660.0914374999998,5933.2780625000005,6164.2383,5429.3561625,2851.582279166667,1830.0130416666668,1903.0171416666665
강남구,11680101,역삼동,4,20220614.5,11680645.0,56362.337616666664,1544.90755,2510.425370833333,4825.478720833334,6657.953162500001,6198.7807875,3753.1785375,1538.4775708333334,1279.6887666666667,1490.1290499999998,2620.119091666667,5879.604595833333,6127.485658333334,5373.863633333333,2836.7856458333335,1823.1437916666666,1902.31585
강남구,11680101,역삼동,5,20220614.5,11680645.0,56716.75089166666,1549.1688666666666,2506.8205083333332,4819.797308333334,6602.2482291666665,6142.527762500001,3781.9425208333337,1612.3737625,1332.8738083333333,1504.7840291666664,2639.688375,5903.660341666667,6120.103166666667,5386.733204166667,2878.4826541666666,1940.3484625,1995.1977833333333
강남구,11680101,역삼동,6,20220614.5,11680645.0,58296.87397916667,1545.7833041666665,2516.527258333333,4864.7880625,6716.9079249999995,6357.9796125,4062.8861624999995,1840.7148291666665,1452.1760958333334,1510.8128708333334,2650.5443458333334,6006.586204166666,6205.520641666667,5449.0768333333335,2975.51585,2055.909091666667,2085.1450041666667
강남구,11680101,역삼동,7,20220614.5,11680645.0,62559.583099999996,1540.5465000000002,2543.6591208333334,5157.813816666667,7371.097220833333,7086.207725,4611.983995833333,2039.1244833333333,1508.4649708333334,1504.4554083333333,2764.6232125,6494.374925,6707.144562500001,5726.008470833333,3164.5791625,2182.8508166666666,2156.6489333333334
강남구,11680101,역삼동,8,20220614.5,11680645.0,71203.90470833333,1508.4450916666667,2628.2842291666666,5978.596041666667,8745.020816666667,8166.31505,5197.336341666666,2259.840125,1599.0787958333333,1432.2383041666665,2932.008341666667,8052.384625,8057.742845833333,6408.919691666667,3571.7888625,2387.986891666667,2277.918741666667
강남구,11680101,역삼동,9,20220614.5,11680645.0,79686.111625,1534.2855166666666,2749.0899291666665,6818.526229166667,9905.228883333333,9057.574658333333,5641.442245833333,2504.3050166666667,1757.2040875,1417.60905,3096.189875,9610.208116666667,9325.8383375,7071.007883333333,4057.687491666667,2681.4352583333334,2458.4792958333333
강남구,11680101,역삼동,10,20220614.5,11680645.0,84637.69552083332,1578.2462208333334,2833.2902,7290.194741666666,10509.056425,9482.73145,5919.103758333334,2728.3708458333335,1915.7676875,1446.0855875,3197.159841666667,10346.276216666667,9937.763433333334,7392.0158375,4438.864375,2958.7192,2664.0499875
강남구,11680101,역삼동,11,20220614.5,11680645.0,87695.8863875,1578.4072583333334,2935.2079166666667,7634.530212500001,10859.367091666667,9670.753333333332,6121.919408333334,2879.2414000000003,2003.4373375000002,1446.3911708333335,3289.304104166667,10875.1151125,10300.297879166666,7568.690041666666,4642.513266666667,3127.8506333333335,2762.8603666666663
강남구,11680101,역삼동,12,20220614.5,11680645.0,89265.355575,1557.0555166666666,2975.5489416666665,7918.5121625,11053.423725,9736.2464625,6105.6312333333335,2928.073245833333,2048.8842958333335,1464.7445833333334,3408.9317708333333,11287.198179166668,10486.831383333332,7605.446654166667,4710.4276666666665,3186.67895,2791.721070833333
강남구,11680101,역삼동,13,20220614.5,11680645.0,90534.78912916667,1592.7763791666666,3030.2991375,8175.680425,11122.921741666667,9779.102895833334,6138.774320833333,2973.791425,2111.9753791666667,1524.1219041666666,3466.879908333333,11655.7071375,10558.6658,7661.936516666668,4733.572416666667,3191.0417958333333,2817.54155
강남구,11680101,역삼동,14,20220614.5,11680645.0,90522.37119583333,1596.0166375,3067.6582833333337,8298.116533333334,11136.0088375,9752.105233333334,6104.694570833333,2936.143620833333,2106.2830083333333,1549.7847083333334,3510.5599791666664,11803.433375,10488.967,7585.634183333333,4702.5874125,3134.356245833333,2750.02155
강남구,11680101,역삼동,15,20220614.5,11680645.0,89191.00843333332,1585.6413083333334,3135.0785416666663,8284.074704166667,10987.6911625,9602.324341666666,5991.070904166667,2816.2296375,2006.9881083333332,1528.1771125000002,3551.9479333333334,11850.316291666668,10310.754020833332,7484.3845125,4556.345566666667,2929.8705750000004,2570.1136708333333
강남구,11680101,역삼동,16,20220614.5,11680645.0,87131.39527916667,1564.2499208333331,3241.1041,8276.226058333334,10758.38945,9385.938904166667,5733.494408333333,2640.599216666667,1899.2982166666668,1526.2644125,3594.2052249999997,11674.688345833332,9967.418229166668,7342.073333333334,4354.426754166667,2749.1538875,2423.865025
강남구,11680101,역삼동,17,20220614.5,11680645.0,83921.292225,1543.1484333333335,3282.6051,8271.357408333333,10400.0341125,8958.933325,5345.644975,2442.283841666667,1807.5210833333333,1497.8761041666667,3649.3314875,11304.141162499998,9473.9183875,6997.130116666667,4109.005220833334,2558.6747833333334,2279.686691666667
강남구,11680101,역삼동,18,20220614.5,11680645.0,78393.292175,1538.2606458333332,3172.6519625,7960.464670833334,9563.731516666667,8246.518816666667,4960.532095833333,2281.1742083333334,1686.4720166666666,1472.1352208333335,3497.5580125,10544.2358625,8593.7013125,6456.087620833333,3814.156408333333,2395.0649625,2210.5466499999998
강남구,11680101,역삼동,19,20220614.5,11680645.0,73570.66998749999,1536.983075,3128.6012083333335,7511.031670833333,8771.070716666667,7650.945408333333,4669.997304166666,2113.2757625,1576.4923625000001,1490.6789499999998,3431.3885208333336,9752.827291666666,7838.9215,6107.768220833333,3598.2371541666666,2265.2548791666663,2127.1958375
강남구,11680101,역삼동,20,20220614.5,11680645.0,70556.06863333333,1567.9681541666666,3076.358075,7167.832695833334,8335.909558333333,7390.785475000001,4516.201866666666,1949.4930000000002,1485.6540125000001,1504.937775,3405.690995833333,9161.182504166667,7411.527208333333,5973.648174999999,3411.7009249999996,2134.9774458333336,2062.200333333333
강남구,11680101,역삼동,21,20220614.5,11680645.0,67693.14588750001,1602.1221208333334,3114.2449833333335,6679.549004166667,7905.809025,7204.6998375,4356.447441666666,1823.6442583333335,1419.0160125,1547.2781666666667,3458.152016666667,8393.083620833333,7029.620895833334,5893.337066666667,3248.824595833333,1993.8522125,2023.4642458333335
강남구,11680101,역삼동,22,20220614.5,11680645.0,63885.50877083334,1681.7712541666667,2884.939216666667,6065.188766666666,7460.660545833333,6977.701075,4169.8159125,1726.0843916666665,1384.3809041666666,1666.4268250000002,3092.2232208333335,7416.9334874999995,6646.399675000001,5754.978899999999,3064.395375,1898.5814208333334,1995.0282875
강남구,11680101,역삼동,23,20220614.5,11680645.0,58832.83924166666,1592.2343291666666,2633.621866666667,5212.696420833333,7024.048016666667,6561.449466666666,3924.2629916666665,1600.8860750000001,1297.1816999999999,1540.9731208333333,2760.1643750000003,6330.627337499999,6279.8579875,5480.345225,2869.274229166667,1809.6191541666667,1915.5969375000002
강남구,11680103,개포동,0,20220614.5,11680690.0,11604.923651041667,451.52055416666667,733.6949121527778,553.0194152777777,746.6342232638889,1001.7226170138888,880.0753982638889,574.8531850694444,486.4819277777778,462.2566128472222,706.7179583333333,599.587120138889,882.2134059027777,1098.0019680555556,942.9333305555556,764.3471753472222,720.8637166666667
강남구,11680103,개포동,1,20220614.5,11680690.0,11707.255820833334,453.12803611111116,743.4559020833334,563.3624097222222,758.800475,1012.7382677083333,886.2403753472222,578.4078934027777,488.6394892361111,466.7632618055556,713.5153034722222,601.8740263888889,886.7833850694445,1111.7477090277778,946.8469614583333,767.3352451388888,727.6172180555556
강남구,11680103,개포동,2,20220614.5,11680690.0,11744.722370833333,456.15740520833333,746.8905114583334,569.2388659722222,763.746771875,1015.7185673611111,886.1655131944444,577.7154100694444,489.6608513888889,467.1682944444444,714.2403857638889,602.9936430555556,892.8575524305555,1118.8252552083334,949.6189930555556,765.6350874999999,728.0892159722222
강남구,11680103,개포동,3,20220614.5,11680690.0,11753.71989826389,455.96818090277776,749.3172531250001,571.9257163194444,764.873896875,1019.0797090277778,882.8002576388889,576.0237517361111,488.81697673611114,465.85365590277775,712.6217076388889,606.0752246527778,896.4398090277778,1118.869096875,950.5109798611111,765.185101736111,729.3585944444444
강남구,11680103,개포동,4,20220614.5,11680690.0,11794.15229375,462.1734138888889,756.8779614583333,578.6445326388889,768.0538753472223,1018.8240083333334,887.56959375,572.0078972222221,487.5474236111111,471.2491357638889,717.9979795138888,602.4055527777778,896.3995569444445,1128.8424711805555,952.652809375,762.1615059027778,730.7446246527778
강남구,11680103,개포동,5,20220614.5,11680690.0,11811.735385763888,460.55845659722223,752.994840625,586.1178836805556,778.4039673611111,1027.2410232638888,907.813840625,588.6331635416667,485.8046798611111,464.940134375,711.7247315972222,599.3970979166667,898.5492666666668,1122.6117375,944.1834989583334,751.4543520833332,731.306796875
