,시군구명,법정동코드,법정동명,성별,연령대,생활인구수
0,강남구,1168010100,역삼동,남성,10대 ,5273.138512361112
1,강남구,1168010100,역삼동,남성,10대 미만,2875.250980416667
2,강남구,1168010100,역삼동,남성,20대 ,13727.952719027779
3,강남구,1168010100,역삼동,남성,30대 ,20383.269902777778
4,강남구,1168010100,역삼동,남성,40대 ,18433.600707083333
5,강남구,1168010100,역삼동,남성,50대 ,10679.867175833333
6,강남구,1168010100,역삼동,남성,60대 ,4867.193495972222
7,강남구,1168010100,역삼동,남성,70대 이상,3446.0484768055558
8,강남구,1168010100,역삼동,여성,10대 ,5590.793304444444
9,강남구,1168010100,역삼동,여성,10대 미만,2429.281913472222
10,강남구,1168010100,역삼동,여성,20대 ,19021.877147361112
11,강남구,1168010100,역삼동,여성,30대 ,18746.25109652778
12,강남구,1168010100,역삼동,여성,40대 ,13124.367257638887
13,강남구,1168010100,역삼동,여성,50대 ,7636.979940555556
14,강남구,1168010100,역삼동,여성,60대 ,5314.6645545833335
15,강남구,1168010100,역삼동,여성,70대 이상,4627.204635555556
16,강남구,1168010300,개포동,남성,10대 ,808.2982126929013
17,강남구,1168010300,개포동,남성,10대 미만,487.4120803395062
18,강남구,1168010300,개포동,남성,20대 ,657.2182584259259
19,강남구,1168010300,개포동,남성,30대 ,939.9717262037037
20,강남구,1168010300,개포동,남성,40대 ,1171.786451396605
21,강남구,1168010300,개포동,남성,50대 ,1043.8114600385802
22,강남구,1168010300,개포동,남성,60대 ,717.4105574537037
23,강남구,1168010300,개포동,남성,70대 이상,519.0220147299383
24,강남구,1168010300,개포동,여성,10대 ,735.5111684876543
25,강남구,1168010300,개포동,여성,10대 미만,441.2031202160494
26,강남구,1168010300,개포동,여성,20대 ,687.6068683487655
27,강남구,1168010300,개포동,여성,30대 ,1016.8474135570988
28,강남구,1168010300,개포동,여성,40대 ,1232.2437022145061
29,강남구,1168010300,개포동,여성,50대 ,1017.8498357407407
30,강남구,1168010300,개포동,여성,60대 ,923.4348165123456
31,강남구,1168010300,개포동,여성,70대 이상,838.0724069290123
32,강남구,1168010400,청담동,남성,10대 ,1508.0519719444444
33,강남구,1168010400,청담동,남성,10대 미만,1141.752601388889
34,강남구,1168010400,청담동,남성,20대 ,2751.7209501388893
35,강남구,1168010400,청담동,남성,30대 ,4515.739060277778
36,강남구,1168010400,청담동,남성,40대 ,4511.605880972223
37,강남구,1168010400,청담동,남성,50대 ,3049.122683611111
38,강남구,1168010400,청담동,남성,60대 ,1905.285171111111
39,강남구,1168010400,청담동,남성,70대 이상,1330.2943620833332
40,강남구,1168010400,청담동,여성,10대 ,1257.6724977777778
41,강남구,1168010400,청담동,여성,10대 미만,1025.6771583333334
42,강남구,1168010400,청담동,여성,20대 ,4745.656974722222
43,강남구,1168010400,청담동,여성,30대 ,5574.094346666666
44,강남구,1168010400,청담동,여성,40대 ,4313.576639305556
45,강남구,1168010400,청담동,여성,50대 ,3167.071520138889
46,강남구,1168010400,청담동,여성,60대 ,2253.68197375
47,강남구,1168010400,청담동,여성,70대 이상,2072.988119861111
48,강남구,1168010500,삼성동,남성,10대 ,2896.7843066666665
