,시군구명,법정동코드,법정동명,성별,연령대,생활인구수
0,강남구,1168010100,역삼동,남성,10대 ,5273.343628360215
1,강남구,1168010100,역삼동,남성,10대 미만,2657.1919467741936
2,강남구,1168010100,역삼동,남성,20대 ,13985.757083736558
3,강남구,1168010100,역삼동,남성,30대 ,19963.7760875
4,강남구,1168010100,역삼동,남성,40대 ,16964.263127822578
5,강남구,1168010100,역삼동,남성,50대 ,10025.347658333334
6,강남구,1168010100,역삼동,남성,60대 ,4903.426645564517
7,강남구,1168010100,역삼동,남성,70대 이상,3590.384758064516
8,강남구,1168010100,역삼동,여성,10대 ,5752.309130913978
9,강남구,1168010100,역삼동,여성,10대 미만,2413.7841889784945
10,강남구,1168010100,역삼동,여성,20대 ,19093.961500940863
11,강남구,1168010100,역삼동,여성,30대 ,18054.064338172044
12,강남구,1168010100,역삼동,여성,40대 ,12242.174136290321
13,강남구,1168010100,역삼동,여성,50대 ,7611.207909005377
14,강남구,1168010100,역삼동,여성,60대 ,5538.456834677419
15,강남구,1168010100,역삼동,여성,70대 이상,5021.38792594086
16,강남구,1168010300,개포동,남성,10대 ,766.7811855510753
17,강남구,1168010300,개포동,남성,10대 미만,469.8944315710872
18,강남구,1168010300,개포동,남성,20대 ,689.2592093563321
19,강남구,1168010300,개포동,남성,30대 ,914.72776213411
20,강남구,1168010300,개포동,남성,40대 ,1149.303519265233
21,강남구,1168010300,개포동,남성,50대 ,1009.5334667786738
22,강남구,1168010300,개포동,남성,60대 ,752.1398491338113
23,강남구,1168010300,개포동,남성,70대 이상,576.5502850283751
24,강남구,1168010300,개포동,여성,10대 ,702.1709163754481
25,강남구,1168010300,개포동,여성,10대 미만,404.2825145982676
26,강남구,1168010300,개포동,여성,20대 ,746.0836193921745
27,강남구,1168010300,개포동,여성,30대 ,985.6962855585424
28,강남구,1168010300,개포동,여성,40대 ,1223.9969292936082
29,강남구,1168010300,개포동,여성,50대 ,1060.3714314292115
30,강남구,1168010300,개포동,여성,60대 ,953.582373506571
31,강남구,1168010300,개포동,여성,70대 이상,878.0909283228793
32,강남구,1168010400,청담동,남성,10대 ,1421.7440749999998
33,강남구,1168010400,청담동,남성,10대 미만,1050.8179614247313
34,강남구,1168010400,청담동,남성,20대 ,2881.747050806451
35,강남구,1168010400,청담동,남성,30대 ,4485.978691801075
36,강남구,1168010400,청담동,남성,40대 ,4349.839393682795
37,강남구,1168010400,청담동,남성,50대 ,2880.9567204301075
38,강남구,1168010400,청담동,남성,60대 ,1987.9287139784947
39,강남구,1168010400,청담동,남성,70대 이상,1407.2990428763442
40,강남구,1168010400,청담동,여성,10대 ,1387.5763008064516
41,강남구,1168010400,청담동,여성,10대 미만,1064.107640591398
42,강남구,1168010400,청담동,여성,20대 ,4789.2929454301075
43,강남구,1168010400,청담동,여성,30대 ,5268.234838037634
44,강남구,1168010400,청담동,여성,40대 ,4009.0894025537636
45,강남구,1168010400,청담동,여성,50대 ,3105.913837903226
46,강남구,1168010400,청담동,여성,60대 ,2374.747938575269
47,강남구,1168010400,청담동,여성,70대 이상,2200.8764936827956
48,강남구,1168010500,삼성동,남성,10대 ,3044.785784677419
49,강남구,1168010500,삼성동,남성,10대 미만,1788.4341735215055
50,강남구,1168010500,삼성동,남성,20대 ,5631.5784810483865
51,강남구,1168010500,삼성동,남성,30대 ,9369.35356451613
52,강남구,1168010500,삼성동,남성,40대 ,9309.182525268818
53,강남구,1168010500,삼성동,남성,50대 ,5317.088789112903
54,강남구,1168010500,삼성동,남성,60대 ,2961.6905681451613
