"행정구역(동읍면)별","5세별","항목","단위","2019.11 월",
"종로구","50 - 54세","남자인구수[명]","명","6371",
"종로구","50 - 54세","여자인구수[명]","명","6420",
"종로구","55 - 59세","총인구수[명]","명","12955",
"종로구","55 - 59세","남자인구수[명]","명","6572",
"종로구","55 - 59세","여자인구수[명]","명","6383",
"종로구","60 - 64세","총인구수[명]","명","11193",
"종로구","60 - 64세","남자인구수[명]","명","5658",
"종로구","60 - 64세","여자인구수[명]","명","5535",
"종로구","65 - 69세","총인구수[명]","명","7851",
"종로구","65 - 69세","남자인구수[명]","명","3798",
"종로구","65 - 69세","여자인구수[명]","명","4053",
"종로구","70 - 74세","총인구수[명]","명","6692",
"종로구","70 - 74세","남자인구수[명]","명","2989",
"종로구","70 - 74세","여자인구수[명]","명","3703",
"종로구","75 - 79세","총인구수[명]","명","5855",
"종로구","75 - 79세","남자인구수[명]","명","2587",
"종로구","75 - 79세","여자인구수[명]","명","3268",
"종로구","80 - 84세","총인구수[명]","명","3797",
"종로구","80 - 84세","남자인구수[명]","명","1580",
"종로구","80 - 84세","여자인구수[명]","명","2217",
"종로구","85 - 89세","총인구수[명]","명","1827",
"종로구","85 - 89세","남자인구수[명]","명","662",
"종로구","85 - 89세","여자인구수[명]","명","1165",
"종로구","90 - 94세","총인구수[명]","명","714",
"종로구","90 - 94세","남자인구수[명]","명","241",
"종로구","90 - 94세","여자인구수[명]","명","473",
"종로구","95 - 99세","총인구수[명]","명","275",
"종로구","95 - 99세","남자인구수[명]","명","112",
"종로구","95 - 99세","여자인구수[명]","명","163",
"종로구","100+","총인구수[명]","명","252",
"종로구","100+","남자인구수[명]","명","82",
"종로구","100+","여자인구수[명]","명","170",
"청운효자동","계","총인구수[명]","명","12758",
"청운효자동","계","남자인구수[명]","명","5941",
"청운효자동","계","여자인구수[명]","명","6817",
"청운효자동","0 - 4세","총인구수[명]","명","388",
"청운효자동","0 - 4세","남자인구수[명]","명","195",
"청운효자동","0 - 4세","여자인구수[명]","명","193",
"청운효자동","5 - 9세","총인구수[명]","명","514",
"청운효자동","5 - 9세","남자인구수[명]","명","264",
"청운효자동","5 - 9세","여자인구수[명]","명","250",
"청운효자동","10 - 14세","총인구수[명]","명","596",
"청운효자동","10 - 14세","남자인구수[명]","명","306",
"청운효자동","10 - 14세","여자인구수[명]","명","290",
"청운효자동","15 - 19세","총인구수[명]","명","676",
"청운효자동","15 - 19세","남자인구수[명]","명","374",
"청운효자동","15 - 19세","여자인구수[명]","명","302",
"청운효자동","20 - 24세","총인구수[명]","명","801",
"청운효자동","20 - 24세","남자인구수[명]","명","410",
"청운효자동","20 - 24세","여자인구수[명]","명","391",
"청운효자동","25 - 29세","총인구수[명]","명","820",
"청운효자동","25 - 29세","남자인구수[명]","명","386",
"청운효자동","25 - 29세","여자인구수[명]","명","434",
"청운효자동","30 - 34세","총인구수[명]","명","800",
"청운효자동","30 - 34세","남자인구수[명]","명","387",
"청운효자동","30 - 34세","여자인구수[명]","명","413",
"청운효자동","35 - 39세","총인구수[명]","명","963",
"청운효자동","35 - 39세","남자인구수[명]","명","429",
"청운효자동","35 - 39세","여자인구수[명]","명","534",
"청운효자동","40 - 44세","총인구수[명]","명","1067",
"청운효자동","40 - 44세","남자인구수[명]","명","444",
"청운효자동","40 - 44세","여자인구수[명]","명","623",
"청운효자동","45 - 49세","총인구수[명]","명","1199",
"청운효자동","45 - 49세","남자인구수[명]","명","550",
"청운효자동","45 - 49세","여자인구수[명]","명","649",
"청운효자동","50 - 54세","총인구수[명]","명","1073",
"청운효자동","50 - 54세","남자인구수[명]","명","508",
"청운효자동","50 - 54세","여자인구수[명]","명","565",
"청운효자동","55 - 59세","총인구수[명]","명","908",
"청운효자동","55 - 59세","남자인구수[명]","명","444",
"청운효자동","55 - 59세","여자인구수[명]","명","464",
"청운효자동","60 - 64세","총인구수[명]","명","767",
"청운효자동","60 - 64세","남자인구수[명]","명","337",
"청운효자동","60 - 64세","여자인구수[명]","명","430",
"청운효자동","65 - 69세","총인구수[명]","명","565",
"청운효자동","65 - 69세","남자인구수[명]","명","242",
"청운효자동","65 - 69세","여자인구수[명]","명","323",
"청운효자동","70 - 74세","총인구수[명]","명","547",
"청운효자동","70 - 74세","남자인구수[명]","명","211",
"청운효자동","70 - 74세","여자인구수[명]","명","336",
"청운효자동","75 - 79세","총인구수[명]","명","487",
"청운효자동","75 - 79세","남자인구수[명]","명","222",
"청운효자동","75 - 79세","여자인구수[명]","명","265",
"청운효자동","80 - 84세","총인구수[명]","명","340",
"청운효자동","80 - 84세","남자인구수[명]","명","141",
"청운효자동","80 - 84세","여자인구수[명]","명","199",
"청운효자동","85 - 89세","총인구수[명]","명","150",
"청운효자동","85 - 89세","남자인구수[명]","명","56",
"청운효자동","85 - 89세","여자인구수[명]","명","94",
"청운효자동","90 - 94세","총인구수[명]","명","54",
"청운효자동","90 - 94세","남자인구수[명]","명","20",
"청운효자동","90 - 94세","여자인구수[명]","명","34",
"청운효자동","95 - 99세","총인구수[명]","명","26",
"청운효자동","95 - 99세","남자인구수[명]","명","12",
"청운효자동","95 - 99세","여자인구수[명]","명","14",
"청운효자동","100+","총인구수[명]","명","17",
"청운효자동","100+","남자인구수[명]","명","3",
"청운효자동","100+","여자인구수[명]","명","14",
"사직동","계","총인구수[명]","명","9470",
"사직동","계","남자인구수[명]","명","4255",
"사직동","계","여자인구수[명]","명","5215",
"사직동","0 - 4세","총인구수[명]","명","265",
"사직동","0 - 4세","남자인구수[명]","명","138",
"사직동","0 - 4세","여자인구수[명]","명","127",
"사직동","5 - 9세","총인구수[명]","명","364",
"사직동","5 - 9세","남자인구수[명]","명","176",
"사직동","5 - 9세","여자인구수[명]","명","188",
"사직동","10 - 14세","총인구수[명]","명","368",
