시군구명,법정동코드,동리명,시간대구분,기준일ID,행정동코드,총생활인구수,10대 미만,10대,20대,30대,40대,50대,60대,70대 이상
강남구,11680101,역삼동,0,20220616.166666668,11680645.0,59504.23383333333,3164.1963416666667,5362.793411111111,5362.793411111111,5362.793411111111,5362.793411111111,5362.793411111111,5362.793411111111,5362.793411111111
강남구,11680101,역삼동,1,20220616.166666668,11680645.0,58315.84335000001,3115.6833722222223,5249.6272944444445,5249.6272944444445,5249.6272944444445,5249.6272944444445,5249.6272944444445,5249.6272944444445,5249.6272944444445
강남구,11680101,역삼동,2,20220616.166666668,11680645.0,57718.42760555555,3098.937011111111,5185.712969444445,5185.712969444445,5185.712969444445,5185.712969444445,5185.712969444445,5185.712969444445,5185.712969444445
강남구,11680101,역삼동,3,20220616.166666668,11680645.0,57390.14153055556,3086.121222222222,5175.441258333333,5175.441258333333,5175.441258333333,5175.441258333333,5175.441258333333,5175.441258333333,5175.441258333333
강남구,11680101,역삼동,4,20220616.166666668,11680645.0,56928.79991111111,3043.878247222222,5100.436041666667,5100.436041666667,5100.436041666667,5100.436041666667,5100.436041666667,5100.436041666667,5100.436041666667
강남구,11680101,역삼동,5,20220616.166666668,11680645.0,58005.44236944444,3077.060661111111,5151.584672222222,5151.584672222222,5151.584672222222,5151.584672222222,5151.584672222222,5151.584672222222,5151.584672222222
강남구,11680101,역삼동,6,20220616.166666668,11680645.0,61391.55852777777,3096.3579833333333,5199.412475,5199.412475,5199.412475,5199.412475,5199.412475,5199.412475,5199.412475
강남구,11680101,역삼동,7,20220616.166666668,11680645.0,71257.16835555556,3032.7657027777777,5405.984688888889,5405.984688888889,5405.984688888889,5405.984688888889,5405.984688888889,5405.984688888889,5405.984688888889
강남구,11680101,역삼동,8,20220616.166666668,11680645.0,91092.04435277778,2778.292177777778,5308.512686111111,5308.512686111111,5308.512686111111,5308.512686111111,5308.512686111111,5308.512686111111,5308.512686111111
강남구,11680101,역삼동,9,20220616.166666668,11680645.0,108604.44867777778,2709.1252277777776,5383.187405555555,5383.187405555555,5383.187405555555,5383.187405555555,5383.187405555555,5383.187405555555,5383.187405555555
강남구,11680101,역삼동,10,20220616.166666668,11680645.0,116698.74885833333,2647.5418944444446,5448.686866666667,5448.686866666667,5448.686866666667,5448.686866666667,5448.686866666667,5448.686866666667,5448.686866666667
강남구,11680101,역삼동,11,20220616.166666668,11680645.0,120913.1957638889,2627.935575,5556.286622222222,5556.286622222222,5556.286622222222,5556.286622222222,5556.286622222222,5556.286622222222,5556.286622222222
강남구,11680101,역삼동,12,20220616.166666668,11680645.0,122981.09115277776,2648.211122222222,5633.808102777777,5633.808102777777,5633.808102777777,5633.808102777777,5633.808102777777,5633.808102777777,5633.808102777777
강남구,11680101,역삼동,13,20220616.166666668,11680645.0,124906.26236666666,2782.445902777778,5860.153066666667,5860.153066666667,5860.153066666667,5860.153066666667,5860.153066666667,5860.153066666667,5860.153066666667
강남구,11680101,역삼동,14,20220616.166666668,11680645.0,125411.27378055554,2869.774238888889,6027.034130555556,6027.034130555556,6027.034130555556,6027.034130555556,6027.034130555556,6027.034130555556,6027.034130555556
강남구,11680101,역삼동,15,20220616.166666668,11680645.0,124218.48821111111,2852.8268555555555,6143.243936111111,6143.243936111111,6143.243936111111,6143.243936111111,6143.243936111111,6143.243936111111,6143.243936111111
강남구,11680101,역삼동,16,20220616.166666668,11680645.0,121038.48520833334,2788.6253138888887,6492.950383333333,6492.950383333333,6492.950383333333,6492.950383333333,6492.950383333333,6492.950383333333,6492.950383333333
강남구,11680101,역삼동,17,20220616.166666668,11680645.0,114093.98671111111,2661.4013638888887,6466.386399999999,6466.386399999999,6466.386399999999,6466.386399999999,6466.386399999999,6466.386399999999,6466.386399999999
강남구,11680101,역삼동,18,20220616.166666668,11680645.0,101219.8837638889,2644.406572222222,6444.246783333333,6444.246783333333,6444.246783333333,6444.246783333333,6444.246783333333,6444.246783333333,6444.246783333333
강남구,11680101,역삼동,19,20220616.166666668,11680645.0,90026.1131111111,2752.629236111111,6541.719433333334,6541.719433333334,6541.719433333334,6541.719433333334,6541.719433333334,6541.719433333334,6541.719433333334
강남구,11680101,역삼동,20,20220616.166666668,11680645.0,82764.87966944445,2854.044125,6553.381013888889,6553.381013888889,6553.381013888889,6553.381013888889,6553.381013888889,6553.381013888889,6553.381013888889
강남구,11680101,역삼동,21,20220616.166666668,11680645.0,76181.70779444445,3011.788311111111,6631.993705555556,6631.993705555556,6631.993705555556,6631.993705555556,6631.993705555556,6631.993705555556,6631.993705555556
강남구,11680101,역삼동,22,20220616.166666668,11680645.0,68813.59676111111,3315.696325,5828.526066666666,5828.526066666666,5828.526066666666,5828.526066666666,5828.526066666666,5828.526066666666,5828.526066666666
강남구,11680101,역삼동,23,20220616.166666668,11680645.0,62262.96045277777,3103.005847222222,5307.285302777778,5307.285302777778,5307.285302777778,5307.285302777778,5307.285302777778,5307.285302777778,5307.285302777778
강남구,11680103,개포동,0,20220616.166666668,11680690.0,11836.263882407407,940.9787113425926,1485.1536918981483,1485.1536918981483,1485.1536918981483,1485.1536918981483,1485.1536918981483,1485.1536918981483,1485.1536918981483
강남구,11680103,개포동,1,20220616.166666668,11680690.0,11924.05525324074,945.2160391203704,1499.8628391203702,1499.8628391203702,1499.8628391203702,1499.8628391203702,1499.8628391203702,1499.8628391203702,1499.8628391203702
강남구,11680103,개포동,2,20220616.166666668,11680690.0,11951.837249074075,948.441373148148,1506.985895138889,1506.985895138889,1506.985895138889,1506.985895138889,1506.985895138889,1506.985895138889,1506.985895138889
강남구,11680103,개포동,3,20220616.166666668,11680690.0,11953.008697685185,950.3015004629628,1507.147894212963,1507.147894212963,1507.147894212963,1507.147894212963,1507.147894212963,1507.147894212963,1507.147894212963
강남구,11680103,개포동,4,20220616.166666668,11680690.0,11944.42819537037,953.7275067129628,1506.9917622685184,1506.9917622685184,1506.9917622685184,1506.9917622685184,1506.9917622685184,1506.9917622685184,1506.9917622685184
