시군구명,법정동코드,동리명,시간대구분,기준일ID,행정동코드,총생활인구수,10대 미만,10대,20대,30대,40대,50대,60대,70대 이상
서초구,11650108,서초동,5,20220614.5,11650522.75,29480.987163541664,2178.65243125,3138.2649791666668,3138.2649791666668,3138.2649791666668,3138.2649791666668,3138.2649791666668,3138.2649791666668,3138.2649791666668
서초구,11650108,서초동,6,20220614.5,11650522.75,30489.495388541665,2184.3253479166665,3139.287710416667,3139.287710416667,3139.287710416667,3139.287710416667,3139.287710416667,3139.287710416667,3139.287710416667
서초구,11650108,서초동,7,20220614.5,11650522.75,32216.414565625,2171.353540625,3292.5763177083336,3292.5763177083336,3292.5763177083336,3292.5763177083336,3292.5763177083336,3292.5763177083336,3292.5763177083336
서초구,11650108,서초동,8,20220614.5,11650522.75,35798.191745833334,2175.3926958333336,3388.81399375,3388.81399375,3388.81399375,3388.81399375,3388.81399375,3388.81399375,3388.81399375
서초구,11650108,서초동,9,20220614.5,11650522.75,39250.08406666667,2191.66951875,3482.3415385416665,3482.3415385416665,3482.3415385416665,3482.3415385416665,3482.3415385416665,3482.3415385416665,3482.3415385416665
서초구,11650108,서초동,10,20220614.5,11650522.75,40940.479634375,2192.9072614583333,3594.766958333333,3594.766958333333,3594.766958333333,3594.766958333333,3594.766958333333,3594.766958333333,3594.766958333333
서초구,11650108,서초동,11,20220614.5,11650522.75,41746.24360625,2193.8787625,3661.097035416667,3661.097035416667,3661.097035416667,3661.097035416667,3661.097035416667,3661.097035416667,3661.097035416667
서초구,11650108,서초동,12,20220614.5,11650522.75,42370.62898541667,2165.98955625,3707.6913874999996,3707.6913874999996,3707.6913874999996,3707.6913874999996,3707.6913874999996,3707.6913874999996,3707.6913874999996
서초구,11650108,서초동,13,20220614.5,11650522.75,42715.66512708333,2141.8770708333336,3740.742542708333,3740.742542708333,3740.742542708333,3740.742542708333,3740.742542708333,3740.742542708333,3740.742542708333
서초구,11650108,서초동,14,20220614.5,11650522.75,42552.23667708333,2110.8217822916668,3742.7259822916662,3742.7259822916662,3742.7259822916662,3742.7259822916662,3742.7259822916662,3742.7259822916662,3742.7259822916662
