시군구명,법정동코드,동리명,시간대구분,기준일ID,행정동코드,총생활인구수,남성 10대 미만,남성 10대 ,남성 20대 ,남성 30대 ,남성 40대 ,남성 50대 ,남성 60대 ,남성 70대 이상,여성 10대 미만,여성 10대 ,여성 20대 ,여성 30대 ,여성 40대 ,여성 50대 ,여성 60대 ,여성 70대 이상
강남구,11680101,역삼동,0,20220615.5,11680645.0,59469.44354833334,1616.1174633333333,2632.0843800000002,5043.09303,7161.905375,6817.484776666666,4025.376693333333,1624.9700116666668,1297.972035,1530.654858333333,2728.146748333333,6185.52095,6441.681176666667,5616.616618333333,2917.44174,1891.66688,1938.7106733333335
강남구,11680101,역삼동,1,20220615.5,11680645.0,58189.02305833333,1588.0279716666666,2567.8652583333333,4926.96975,6963.67455,6603.449971666666,3922.715686666667,1597.5606983333334,1288.569055,1521.639345,2679.1822899999997,6032.026286666666,6323.207754999999,5521.579716666666,2876.151025,1866.9219,1909.4817583333331
강남구,11680101,역삼동,2,20220615.5,11680645.0,57589.591211666666,1576.84394,2544.717526666667,4859.516263333334,6842.791098333333,6471.732098333333,3889.1665033333334,1590.919475,1285.6727016666666,1520.0501633333333,2653.3152666666665,5952.058753333334,6271.257386666666,5490.1664599999995,2870.0239466666667,1863.2304733333333,1908.1292083333333
강남구,11680101,역삼동,3,20220615.5,11680645.0,57224.332185,1569.612115,2536.6405233333335,4812.944451666667,6767.222203333334,6399.886898333333,3855.8808166666663,1581.82571,1291.2247966666666,1511.9956183333334,2647.0383683333334,5905.411175,6244.455691666666,5464.553481666667,2864.7556066666666,1865.187875,1905.6970583333334
강남구,11680101,역삼동,4,20220615.5,11680645.0,56702.214993333335,1552.476005,2511.0267400000002,4772.181631666666,6680.40657,6298.469993333333,3798.7183,1571.1570316666666,1291.2570033333334,1487.8655833333332,2601.45267,5863.906966666666,6203.307948333333,5418.263906666666,2865.6756133333333,1867.4005599999998,1918.6485833333331
강남구,11680101,역삼동,5,20220615.5,11680645.0,57489.96577833333,1564.21602,2520.3332883333333,4779.316606666666,6657.638940000001,6289.745983333333,3858.98369,1684.3050016666668,1375.581375,1503.601535,2629.2210683333333,5890.0780233333335,6208.538376666666,5449.65133,2940.8862166666668,2062.2110183333334,2075.6573933333334
강남구,11680101,역삼동,6,20220615.5,11680645.0,60153.684708333334,1563.9968133333334,2533.495516666667,4880.770231666666,6910.6226283333335,6714.359563333333,4320.667971666667,1977.4152783333334,1520.7375916666667,1516.4564466666666,2652.98061,6066.315308333333,6383.6755183333335,5594.507325,3099.9949683333334,2220.8280099999997,2196.860723333333
강남구,11680101,역삼동,7,20220615.5,11680645.0,67778.13425333334,1543.9868999999999,2540.5978466666666,5423.655589999999,8214.970568333334,8102.739453333333,5264.119405,2278.172883333333,1603.45758,1493.673285,2826.3059,6924.448821666667,7349.294505,6144.472773333333,3386.634466666667,2392.3749566666665,2289.229291666667
강남구,11680101,역삼동,8,20220615.5,11680645.0,83136.788495,1459.9879266666665,2558.0772383333333,6864.955128333333,10932.036425,10226.474831666668,6334.057043333333,2596.2370066666667,1729.4211783333333,1383.2607383333334,2851.1474016666666,9719.554651666667,9946.854118333335,7384.491756666667,4006.7569033333334,2691.614075,2451.8620183333333
강남구,11680101,역삼동,9,20220615.5,11680645.0,97037.11385666666,1464.7804800000001,2648.3480816666665,8220.621833333333,13202.707226666667,11882.637241666667,7075.379358333333,2949.43165,1948.3686766666665,1341.4524833333335,2919.6762833333332,12281.454633333333,12147.270678333332,8416.589316666666,4690.534885,3132.1707650000003,2715.6904633333334
강남구,11680101,역삼동,10,20220615.5,11680645.0,103874.32752333333,1466.2249583333332,2706.0732983333337,8841.875075,14223.76406,12695.579711666667,7519.688373333333,3256.4140466666668,2177.931488333333,1332.0329016666665,2975.318838333333,13229.630861666667,13013.833373333333,8854.193594999999,5132.505288333333,3461.1808166666665,2988.081005
강남구,11680101,역삼동,11,20220615.5,11680645.0,107626.27201333334,1460.574725,2766.6297633333334,9216.617915,14736.351376666666,13029.262645,7799.475368333334,3438.2675316666664,2297.4233683333337,1326.1059916666668,3056.9470183333333,13777.531656666666,13448.551963333333,9111.17924,5366.800995,3652.54894,3142.00365
강남구,11680101,역삼동,12,20220615.5,11680645.0,109494.79692166667,1449.2756733333333,2800.9828316666667,9511.417885,14990.223999999998,13162.374915,7839.690158333334,3502.107321666667,2361.7303166666666,1348.3710400000002,3133.0943150000003,14202.156004999999,13641.96963,9178.517466666666,5456.771341666667,3721.5560783333335,3194.5578766666667
강남구,11680101,역삼동,13,20220615.5,11680645.0,111157.67307166666,1513.6073416666666,2892.547345,9738.12492,15074.48133,13284.494863333333,7897.588603333334,3584.7969516666662,2463.8697183333334,1402.6195133333335,3222.416113333333,14522.668281666667,13747.239656666667,9245.456718333333,5536.70465,3794.2066016666663,3236.85047
강남구,11680101,역삼동,14,20220615.5,11680645.0,111455.71274666667,1540.8439316666665,2957.4864716666666,9849.861696666667,15105.937888333334,13318.882183333333,7886.106603333333,3568.8988016666667,2481.373411666667,1439.34115,3290.0213116666664,14665.586006666668,13699.382886666666,9216.780956666666,5509.163628333334,3748.68684,3177.3591033333337
강남구,11680101,역삼동,15,20220615.5,11680645.0,110207.4963,1523.2160616666665,3015.0887383333334,9872.062718333333,15044.281836666667,13184.68362,7782.219656666667,3451.5855766666664,2338.75634,1434.0074200000001,3345.6682133333334,14703.438268333333,13567.211931666667,9120.57099,5362.27982,3506.330933333333,2956.094091666667
강남구,11680101,역삼동,16,20220615.5,11680645.0,107475.64923666666,1507.3230666666668,3205.118033333333,9820.132314999999,14789.002548333334,12905.853836666667,7435.552646666666,3204.916005,2162.2248483333333,1402.057855,3424.7759266666667,14541.340583333333,13213.115828333333,8901.248971666668,5061.570248333333,3205.205438333333,2696.211118333333
강남구,11680101,역삼동,17,20220615.5,11680645.0,102024.90891666667,1454.5370433333333,3212.9114533333336,9658.01207,14146.018398333334,12191.270203333332,6811.122206666667,2902.520595,2003.9115266666668,1358.71359,3439.695021666667,13880.098841666668,12423.270528333333,8416.287705,4711.26846,2916.7503349999997,2498.5210183333334
강남구,11680101,역삼동,18,20220615.5,11680645.0,92089.24712833334,1445.0024799999999,3158.4584466666665,8976.079148333334,12553.837773333333,10926.068674999999,6111.619436666666,2590.8971633333335,1799.98798,1345.79981,3376.1736133333334,12307.689716666668,10732.102073333333,7482.0759450000005,4257.1212,2673.459386666667,2352.87405
강남구,11680101,역삼동,19,20220615.5,11680645.0,83443.93586166667,1472.4248,3159.565528333333,8177.3696783333335,10896.704026666666,9729.168801666667,5574.793008333333,2367.28506,1659.3831316666667,1390.2175516666668,3389.4620233333335,10822.765278333332,9255.523671666666,6877.5182,3937.500736666667,2489.7810883333336,2244.47306
강남구,11680101,역삼동,20,20220615.5,11680645.0,77881.355255,1512.2314450000001,3137.64157,7611.16253,9926.862996666667,9023.119491666666,5201.50459,2145.396568333333,1539.7578716666665,1429.3574016666666,3387.2066666666665,9836.676081666667,8451.540573333334,6546.5944,3677.381525,2305.4024216666667,2149.51901
강남구,11680101,역삼동,21,20220615.5,11680645.0,72786.28303166667,1577.7273233333333,3183.6416433333334,6936.494828333333,9086.374228333332,8423.734106666667,4846.6868583333335,1948.3866066666667,1442.663225,1489.1057783333333,3424.51338,8755.830646666667,7748.984388333333,6287.361076666667,3417.0376966666668,2128.568785,2089.1723666666667
강남구,11680101,역삼동,22,20220615.5,11680645.0,66842.361565,1699.9107783333334,2872.18986,6110.691135,8224.214818333332,7789.639288333333,4481.8609750000005,1798.4402433333335,1395.8522449999998,1628.7862483333333,3015.790755,7486.349915,7115.854795,6018.507576666667,3157.342445,2000.9066416666667,2046.0240916666667
