시군구명,법정동코드,동리명,시간대구분,기준일ID,행정동코드,총생활인구수,남성 10대 미만,남성 10대 ,남성 20대 ,남성 30대 ,남성 40대 ,남성 50대 ,남성 60대 ,남성 70대 이상,여성 10대 미만,여성 10대 ,여성 20대 ,여성 30대 ,여성 40대 ,여성 50대 ,여성 60대 ,여성 70대 이상
강남구,11680101,역삼동,0,20220616.166666668,11680645.0,59504.23383333333,1626.575361111111,2629.7509222222225,4974.939861111111,7141.596347222222,6865.799286111111,4041.2651277777777,1637.6974861111112,1303.0872583333335,1537.6209805555554,2733.042488888889,6119.123652777777,6471.114888888889,5647.501116666666,2924.7396833333332,1911.1128194444443,1939.266475
강남구,11680101,역삼동,1,20220616.166666668,11680645.0,58315.84335000001,1592.9344250000001,2569.238641666667,4869.240275,6966.248669444444,6659.092816666667,3947.8980555555554,1613.9641277777778,1294.0042694444446,1522.7489472222221,2680.3886527777777,5995.5634361111115,6373.5217250000005,5551.464830555556,2886.925663888889,1885.9594638888889,1906.6493
강남구,11680101,역삼동,2,20220616.166666668,11680645.0,57718.42760555555,1579.7164111111113,2540.036819444444,4826.119602777778,6848.587952777777,6524.262513888889,3906.807661111111,1603.2340638888888,1289.988425,1519.2205999999999,2645.6761500000002,5930.992180555556,6321.682777777777,5512.457361111111,2877.35165,1884.6896805555557,1907.6036333333334
강남구,11680101,역삼동,3,20220616.166666668,11680645.0,57390.14153055556,1576.626061111111,2537.1049361111113,4780.376458333333,6779.084352777778,6456.418258333333,3878.975958333333,1594.4531944444445,1296.8260916666668,1509.495161111111,2638.3363222222224,5886.83325,6297.933952777778,5488.018361111111,2873.537825,1888.637763888889,1907.4836694444446
강남구,11680101,역삼동,4,20220616.166666668,11680645.0,56928.79991111111,1557.5216416666667,2511.427652777778,4736.650238888888,6695.3755083333335,6364.929463888889,3829.078141666667,1592.943338888889,1298.9691611111111,1486.3566055555557,2589.008388888889,5853.441880555556,6253.856141666667,5447.864088888889,2884.9355916666664,1896.905072222222,1929.5370722222224
강남구,11680101,역삼동,5,20220616.166666668,11680645.0,58005.44236944444,1574.2474555555555,2529.341808333333,4752.329472222223,6694.566080555556,6387.891463888889,3910.3444694444447,1732.259161111111,1404.053086111111,1502.8132055555554,2622.242863888889,5881.023144444444,6267.495183333333,5491.596747222222,2982.4885916666667,2143.4527222222223,2129.2971333333335
강남구,11680101,역삼동,6,20220616.166666668,11680645.0,61391.55852777777,1576.1391527777778,2544.8076888888886,4891.425011111111,7039.765763888889,6951.9461972222225,4492.52251111111,2068.548911111111,1566.4452555555554,1520.2188305555555,2654.604786111111,6106.134711111112,6502.445436111111,5691.460986111111,3182.981047222222,2330.7739555555554,2271.3378694444446
강남구,11680101,역삼동,7,20220616.166666668,11680645.0,71257.16835555556,1546.2804999999998,2538.5569972222224,5600.883438888889,8777.5528,8780.427272222221,5698.876344444445,2437.5384833333333,1666.785986111111,1486.4852027777777,2867.4276916666663,7211.164752777778,7777.394466666667,6423.448975,3534.671336111111,2532.0577166666667,2377.616197222222
강남구,11680101,역삼동,8,20220616.166666668,11680645.0,91092.04435277778,1427.6831499999998,2511.2725777777778,7455.861186111111,12390.046830555555,11599.914686111111,7091.870844444445,2820.5015944444444,1816.3161,1350.6090277777778,2797.2401083333334,10831.001336111112,11206.261633333334,8034.8731333333335,4296.735597222222,2894.0321972222223,2567.824202777778
강남구,11680101,역삼동,9,20220616.166666668,11680645.0,108604.44867777778,1418.4437888888888,2581.18685,9155.352236111112,15401.026122222222,13766.012297222223,8031.337433333334,3246.1827388888887,2075.8117361111113,1290.6814388888888,2802.000555555556,14062.285644444444,14028.225572222223,9313.643605555555,5112.433147222222,3432.661102777778,2887.1645750000002
